"Folketal 1. januar efter kommune og tid"

" ";"2018";"2019";"2020";"2021";"2022"
"København";613288;623404;632340;638117;644431
"Frederiksberg";104410;103960;104305;103677;103608
"Dragør";14272;14270;14494;14569;14640
"Tårnby";43063;42984;42989;42670;42723
"Albertslund";27743;27877;27731;27366;27599
"Ballerup";48295;48458;48602;49310;49274
"Brøndby";35538;35397;35090;35232;35651
"Gentofte";75803;75176;74830;74550;74217
"Gladsaxe";69484;69681;69262;69200;69259
"Glostrup";22663;22615;23128;23380;23514
"Herlev";28572;28786;28953;28913;28867
"Hvidovre";53282;53416;53527;53451;53267
"Høje-Taastrup";50596;50686;50759;51729;53053
"Ishøj";22988;22946;22989;23131;23225
"Lyngby-Taarbæk";55472;55790;56214;56614;57826
"Rødovre";39343;40052;40652;41113;41382
"Vallensbæk";16280;16654;16633;16515;16488
"Allerød";25235;25646;25633;25893;25867
"Egedal";43000;43335;43354;43696;44375
"Fredensborg";40779;40819;40865;40998;41211
"Frederikssund";45189;45332;45223;45439;45800
"Furesø";40911;41069;40965;41001;41402
"Gribskov";41217;41195;41048;40971;41147
"Halsnæs";31168;31271;31384;31420;31344
"Helsingør";62686;62567;62695;63000;62875
"Hillerød";50650;50998;51183;51528;53257
"Hørsholm";25028;25007;24864;24917;24761
"Rudersdal";55989;56509;56728;57024;57247
"Bornholm";39632;39572;39499;39570;39545
"Christiansø";83;90;84;90;93
"Greve";49974;50267;50558;50514;50818
"Køge";60356;60675;60979;61475;61718
"Lejre";27544;27775;27996;28173;28623
"Roskilde";87382;87577;87914;88889;89447
"Solrød";22518;23065;23255;23441;23794
"Faxe";36139;36513;36576;36713;37161
"Guldborgsund";61219;60930;60722;60328;60310
"Holbæk";70983;71297;71541;71913;72810
"Kalundborg";48982;48681;48436;48487;48368
"Lolland";41982;41615;41105;40539;40107
"Næstved";82938;82991;83143;83181;83801
"Odsherred";33083;33122;32957;32923;32881
"Ringsted";34473;34725;34852;34847;35141
"Slagelse";78968;79073;79073;79122;79691
"Sorø";29669;29834;29881;29993;30018
"Stevns";22727;22782;22805;23034;23473
"Vordingborg";46087;45816;45566;45268;45352
"Assens";41328;41212;40965;40867;40972
"Faaborg-Midtfyn";51536;51809;51556;51683;51849
"Kerteminde";23756;23773;23812;23847;24034
"Langeland";12641;12560;12491;12367;12316
"Middelfart";38210;38553;38853;39116;39603
"Nordfyns";29516;29693;29665;29549;29714
"Nyborg";32032;32042;32009;31933;32098
"Odense";202348;204182;204895;205509;205978
"Svendborg";58698;58599;58296;58588;59193
"Ærø";6178;6058;5964;5960;6025
"Billund";26482;26629;26608;26551;26631
"Esbjerg";116032;115652;115483;115579;115459
"Fanø";3401;3404;3488;3456;3427
"Fredericia";51326;51427;51377;51275;51606
"Haderslev";55963;55857;55670;55376;55340
"Kolding";92515;92893;93175;93161;93544
"Sønderborg";74650;74561;74220;73831;73711
"Tønder";37777;37587;37366;37050;36849
"Varde";50301;50129;49961;49628;49664
"Vejen";42844;42863;42742;42790;42596
"Vejle";114140;114830;115748;116992;119060
"Aabenraa";59089;59035;58761;58526;58693
"Favrskov";48271;48374;48397;48381;48880
"Hedensted";46616;46747;46722;46773;47099
"Horsens";89598;90370;90966;92229;94443
"Norddjurs";38197;37680;37089;36943;36921
"Odder";22626;22675;22844;22979;23304
"Randers";98265;97909;97805;98190;98988
"Samsø";3720;3684;3657;3682;3716
"Silkeborg";92024;93054;94026;95488;97358
"Skanderborg";61158;61974;62678;63390;64318
"Syddjurs";42468;42768;42962;43168;43596
"Aarhus";340421;345332;349983;352751;355238
"Herning";88733;88917;89127;89238;89230
"Holstebro";58418;58504;58591;58662;58553
"Ikast-Brande";41191;41282;41369;41473;41885
"Lemvig";20133;19998;19722;19607;19398
"Ringkøbing-Skjern";57005;56930;56594;56182;56203
"Skive";46599;46224;45851;45425;45078
"Struer";21270;21143;21036;20808;20802
"Viborg";96883;97113;96921;96679;96847
"Brønderslev";36289;36370;36304;36177;36194
"Frederikshavn";60140;59987;59654;59039;58878
"Hjørring";65257;64665;64483;64155;63839
"Jammerbugt";38638;38460;38324;38175;38187
"Læsø";1807;1806;1786;1764;1769
"Mariagerfjord";42125;42055;41800;41536;41662
"Morsø";20514;20403;20247;20066;20068
"Rebild";29827;29916;30113;30518;30646
"Thisted";43716;43660;43423;43160;43089
"Vesthimmerlands";37277;37121;36727;36362;36326
"Aalborg";213558;215312;217075;219487;221082

"Byer kan være delt over en kommunegrænse. For hver kommune "
"klassificeres disse byer efter hele byens størrelser hvorimod "
"antallet af personer, der optælles under de respektive bystørrelser,  "
"kun omfatter de personer, der er bosiddende i den respektive kommune. "

