Folketal den 1. i kvartalet efter område og tid;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
 ;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3;2020K4;2021K1;2021K2;2021K3;2021K4;2022K1;2022K2;2022K3;2022K4
København;613288;615993;616098;622698;623404;626350;626508;633021;632340;633449;633035;637936;638117;638678;638790;643613;644431;646812;647509;652564
Frederiksberg;104410;104553;103914;104735;103960;104226;103725;104987;104305;104294;104118;104351;103677;103284;102940;103782;103608;103940;104094;104801
Dragør;14272;14222;14201;14279;14270;14321;14394;14475;14494;14508;14515;14497;14569;14575;14588;14616;14640;14585;14669;14631
Tårnby;43063;43048;43005;43033;42984;42964;43018;43027;42989;42829;42785;42757;42670;42698;42658;42664;42723;42819;43042;43129
Albertslund;27743;27717;27753;27859;27877;27779;27750;27666;27731;27647;27543;27500;27366;27192;27113;27411;27599;27548;27547;27576
Ballerup;48295;48316;48403;48377;48458;48441;48421;48475;48602;48790;48916;48978;49310;49110;49106;49259;49274;49422;49623;49854
Brøndby;35538;35528;35511;35555;35397;35253;35104;35143;35090;35098;35112;35215;35232;35387;35457;35501;35651;35850;36161;36610
Gentofte;75803;75693;75130;75265;75176;75176;75055;75041;74830;74792;74773;74623;74550;74319;74303;74270;74217;74268;74492;74666
Gladsaxe;69484;69444;69261;69624;69681;69607;69489;69429;69262;69149;69109;69203;69200;69171;68963;69135;69259;69264;69520;69887
Glostrup;22663;22592;22557;22533;22615;22732;22891;23129;23128;23308;23322;23342;23380;23473;23526;23543;23514;23510;23555;23636
Herlev;28572;28537;28648;28625;28786;28849;29000;28966;28953;28930;28933;28914;28913;28848;28835;28868;28867;28807;28864;29027
Hvidovre;53282;53405;53480;53498;53416;53487;53529;53534;53527;53472;53422;53448;53451;53329;53247;53277;53267;53223;53324;53474
Høje-Taastrup;50596;50639;50676;50718;50686;50801;50853;50964;50759;50829;50923;51238;51729;52212;52504;52702;53053;53538;54192;54648
Ishøj;22988;22996;23011;22989;22946;22949;22988;22954;22989;22928;23018;23059;23131;23090;23055;23131;23225;23293;23317;23487
Lyngby-Taarbæk;55472;55566;55461;55850;55790;56058;56088;56483;56214;56209;56046;56624;56614;56933;57072;57834;57826;58017;58075;58457
Rødovre;39343;39491;39590;39887;40052;40213;40478;40684;40652;40634;40848;41025;41113;41195;41217;41219;41382;41478;41649;42408
Vallensbæk;16280;16447;16532;16642;16654;16649;16671;16646;16633;16565;16510;16483;16515;16545;16540;16501;16488;16521;16668;16855
Allerød;25235;25303;25427;25544;25646;25697;25729;25673;25633;25633;25637;25871;25893;25878;25929;25882;25867;25876;26008;26039
Egedal;43000;43063;43129;43267;43335;43339;43383;43446;43354;43376;43424;43471;43696;43676;44109;44226;44375;44531;44893;45032
Fredensborg;40779;40783;40812;40764;40819;40854;40867;40821;40865;40866;40971;40980;40998;41047;41087;41152;41211;41337;41644;41713
Frederikssund;45189;45176;45272;45373;45332;45360;45370;45276;45223;45327;45425;45489;45439;45619;45807;45842;45800;45905;46213;46263
Furesø;40911;40944;40961;40924;41069;41120;41159;41133;40965;40973;41011;40955;41001;40950;41185;41360;41402;41577;41794;41913
Gribskov;41217;41209;41299;41280;41195;41184;41262;41170;41048;41084;41135;41110;40971;41032;41219;41228;41147;41269;41576;41622
Halsnæs;31168;31247;31338;31378;31271;31277;31395;31495;31384;31475;31537;31518;31420;31450;31438;31465;31344;31433;31607;31598
Helsingør;62686;62657;62663;62661;62567;62610;62664;62709;62695;62816;62966;63047;63000;63063;63158;63097;62875;62947;63242;63420
