"Anmeldte forbrydelser efter overtrædelsens art, område og tid"

" "," ","2018K1","2018K2","2018K3","2018K4","2019K1","2019K2","2019K3","2019K4","2020K1","2020K2","2020K3","2020K4","2021K1","2021K2","2021K3","2021K4","2022K1","2022K2","2022K3","2022K4"
"Ejendomsforbrydelser i alt"
" ","København",14790,16466,15738,16122,15540,15726,15350,17812,15823,9680,13500,11020,7957,9758,12300,11859,10287,12650,13477,14503
" ","Frederiksberg",1485,1552,1436,1469,1274,1319,1335,1711,1472,1149,1605,1486,1151,1215,1321,1339,1212,1364,1562,1843
" ","Dragør",94,97,101,115,121,97,118,146,94,114,99,123,85,62,85,96,75,84,94,77
" ","Tårnby",795,850,855,839,796,781,772,820,762,458,548,458,353,416,507,546,540,735,735,618
" ","Albertslund",294,477,356,362,367,384,393,389,456,1105,453,384,381,288,265,248,302,501,342,335
" ","Ballerup",572,592,625,692,624,621,652,649,677,473,711,534,500,569,570,539,595,711,674,588
" ","Brøndby",715,570,594,520,422,403,388,436,395,390,381,405,388,369,331,362,424,363,435,445
" ","Gentofte",1105,1233,1248,1147,1007,1197,1068,1165,881,751,876,899,628,811,860,863,797,910,859,782
" ","Gladsaxe",719,837,867,910,771,803,738,847,646,632,725,606,487,580,480,619,650,717,679,713
" ","Glostrup",525,530,496,471,447,372,321,460,357,384,341,405,323,289,358,337,333,406,423,356
" ","Herlev",525,544,489,518,454,460,417,732,1021,377,512,385,316,286,438,333,312,369,384,389
" ","Hvidovre",741,820,812,829,683,701,716,684,656,647,760,1167,566,483,634,642,562,639,669,705
" ","Høje-Taastrup",700,680,620,622,710,797,551,892,663,492,671,1013,500,590,580,529,564,535,561,682
" ","Ishøj",307,320,307,320,342,308,238,364,298,266,258,294,237,215,244,213,243,246,253,257
" ","Lyngby-Taarbæk",1099,999,996,1172,945,824,828,882,709,501,739,670,449,583,604,770,684,756,795,716
" ","Rødovre",576,607,620,591,547,668,538,619,539,437,590,645,443,429,444,441,488,515,674,666
" ","Vallensbæk",140,149,178,183,139,161,174,166,134,102,126,127,103,77,85,124,109,151,122,123
" ","Allerød",259,220,249,267,188,225,191,222,199,126,192,148,102,136,188,202,191,194,231,211
" ","Egedal",330,267,318,413,252,261,250,298,248,244,260,298,231,228,266,243,305,277,284,297
" ","Fredensborg",324,329,292,351,249,275,261,292,289,182,276,266,168,240,273,254,256,245,322,327
" ","Frederikssund",363,419,445,499,346,515,437,465,391,366,463,449,346,470,353,371,375,363,343,410
" ","Furesø",440,484,320,423,365,364,389,351,324,279,307,319,239,274,306,310,269,333,394,404
" ","Gribskov",379,365,438,453,365,392,426,422,298,328,346,331,344,278,329,275,341,297,436,367
" ","Halsnæs",246,300,276,399,310,325,325,314,254,262,275,276,252,267,243,258,215,255,258,214
" ","Helsingør",708,687,745,811,638,716,669,841,684,531,749,606,559,480,580,559,678,738,842,847
" ","Hillerød",559,559,583,677,658,475,554,659,575,406,427,570,411,510,543,597,567,536,613,625
" ","Hørsholm",263,392,604,274,285,241,336,277,188,213,231,215,262,262,269,256,239,323,722,226
" ","Rudersdal",739,730,734,701,622,648,646,744,555,470,555,541,382,469,501,547,522,551,564,563
" ","Bornholm",159,194,189,165,157,152,194,157,151,114,198,165,168,129,125,141,135,176,257,221
" ","Christiansø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Greve",548,580,562,597,476,473,513,554,458,427,536,374,330,396,393,457,456,686,421,517
" ","Køge",664,708,572,624,599,548,544,652,615,518,554,585,418,460,424,497,460,499,515,564
" ","Lejre",208,225,407,323,133,138,143,156,143,123,137,124,132,278,123,97,144,180,131,160
" ","Roskilde",905,1250,1599,1315,848,781,1527,975,735,731,814,755,623,754,720,836,773,955,1151,807
" ","Solrød",176,174,204,291,182,188,202,238,181,155,180,184,122,141,163,170,162,200,201,216
" ","Faxe",266,267,304,337,224,187,307,265,254,256,268,230,175,198,207,176,174,235,302,434
" ","Guldborgsund",633,680,588,614,767,613,679,737,643,505,498,452,417,395,424,413,375,499,491,500
" ","Holbæk",564,633,669,701,685,493,537,633,709,1115,795,623,517,531,395,394,437,478,445,453
" ","Kalundborg",371,485,412,522,327,330,299,591,331,317,322,306,286,626,281,292,370,511,377,386
" ","Lolland",413,520,580,543,903,498,505,532,390,376,495,335,322,373,375,295,295,478,388,441
" ","Næstved",684,895,907,754,861,633,717,782,739,603,695,531,484,616,504,492,692,710,780,781
" ","Odsherred",421,392,390,449,336,352,319,400,465,293,313,247,245,187,209,262,323,329,339,387
" ","Ringsted",380,389,369,371,301,291,274,357,342,291,283,317,197,261,307,251,223,271,267,274
" ","Slagelse",902,973,909,1017,915,903,888,866,1045,1401,659,761,656,622,618,625,602,750,740,826
" ","Sorø",288,313,234,258,241,237,231,285,257,199,214,165,152,193,187,226,169,237,174,198
" ","Stevns",104,147,137,155,74,93,145,105,109,153,94,75,90,105,113,138,116,129,140,147
" ","Vordingborg",416,373,419,402,366,324,459,300,315,307,358,275,252,267,285,390,309,296,344,365
" ","Assens",318,247,254,324,344,276,324,345,402,387,348,392,289,256,313,212,210,205,245,253
" ","Faaborg-Midtfyn",359,358,339,377,314,303,302,291,320,349,325,371,296,251,302,311,254,282,288,276
" ","Kerteminde",122,143,245,187,182,165,206,119,139,160,162,141,109,126,153,129,100,124,158,109
" ","Langeland",61,91,120,103,91,87,95,51,66,102,91,71,57,67,104,71,68,67,77,129
" ","Middelfart",292,388,344,365,322,341,397,393,278,326,274,326,217,244,314,377,266,308,326,301
" ","Nordfyns",183,196,187,277,187,178,176,180,237,201,187,205,165,112,147,145,136,143,212,157
" ","Nyborg",231,277,295,329,307,313,305,240,313,222,237,286,239,233,237,270,232,176,221,209
" ","Odense",2437,2813,2850,2746,2712,2722,2509,2790,3063,2230,2573,2711,1920,1929,2360,2135,1950,2231,2842,2422
" ","Svendborg",480,428,460,548,399,395,441,554,449,400,486,392,375,385,547,478,414,444,468,469
" ","Ærø",14,29,31,27,24,28,21,17,21,11,32,28,6,11,17,13,6,18,20,16
" ","Billund",248,288,350,301,204,206,342,278,241,164,245,144,140,120,172,198,156,185,167,182
" ","Esbjerg",1126,1262,1387,1404,1191,1160,1239,1301,1154,994,1209,1204,1017,1075,1140,1002,1039,1092,1160,1235
" ","Fanø",20,37,42,39,40,27,29,10,13,19,26,27,18,23,26,13,34,33,32,18
" ","Fredericia",747,674,644,657,662,568,631,593,574,475,429,514,408,500,551,580,469,554,634,686
" ","Haderslev",533,482,469,509,472,455,384,435,422,369,328,380,382,406,369,422,365,452,452,412
" ","Kolding",1370,1206,1040,1249,1047,1042,991,869,828,704,736,749,733,796,841,852,737,973,863,884
" ","Sønderborg",650,751,728,761,608,617,616,488,447,493,463,478,368,434,474,457,411,556,546,630
" ","Tønder",281,316,317,448,312,806,336,327,268,185,261,225,252,238,216,212,396,282,245,281
" ","Varde",495,404,475,401,335,330,351,453,352,332,267,303,241,284,327,310,301,328,331,308
" ","Vejen",297,302,285,319,272,232,261,280,268,172,208,252,204,223,198,226,231,262,263,277
" ","Vejle",1272,1309,1142,1281,1102,1204,1078,987,867,771,911,766,697,732,837,848,784,880,908,978
" ","Aabenraa",618,558,571,583,516,504,512,542,488,401,514,575,374,419,381,413,344,417,409,384
" ","Favrskov",393,336,278,302,246,336,301,308,263,206,274,256,265,211,236,227,254,211,244,288
" ","Hedensted",298,317,310,341,247,265,361,262,289,268,235,238,158,216,217,239,240,251,267,298
" ","Horsens",941,920,891,842,767,791,823,686,696,625,701,664,602,596,700,806,633,706,828,834
" ","Norddjurs",268,286,269,350,404,273,248,240,295,241,279,333,262,198,224,223,191,234,303,226
" ","Odder",181,161,142,142,137,134,122,136,134,114,97,116,92,113,138,107,99,111,201,156
" ","Randers",849,831,1000,997,943,1369,964,898,983,925,1232,866,711,1148,966,735,833,956,981,1155
" ","Samsø",15,16,39,17,5,15,35,12,11,21,26,11,16,7,22,13,8,18,29,12
" ","Silkeborg",817,791,821,981,690,694,589,695,788,561,685,571,495,512,588,543,599,583,699,569
" ","Skanderborg",483,513,597,434,415,408,504,334,361,244,363,373,457,284,380,397,337,330,406,397
" ","Syddjurs",345,344,340,324,280,331,335,252,292,254,244,455,243,270,241,234,217,244,278,300
" ","Aarhus",5344,5640,5233,5666,4654,4512,4689,4743,4464,4038,5108,4552,3046,4060,4473,5977,4565,4666,4934,5448
" ","Herning",942,856,836,967,856,673,675,872,668,532,722,596,516,721,606,655,525,1008,802,682
" ","Holstebro",518,576,800,594,829,459,501,454,435,470,428,394,296,361,632,399,342,405,341,370
" ","Ikast-Brande",357,353,293,349,340,314,261,292,301,261,292,299,267,288,251,295,214,278,285,322
" ","Lemvig",86,84,132,106,71,76,82,95,107,124,76,68,86,84,123,42,71,88,91,61
" ","Ringkøbing-Skjern",366,427,440,350,317,293,245,304,298,363,270,326,260,283,263,297,301,305,415,316
" ","Skive",328,347,360,370,256,307,347,383,298,265,294,301,253,261,232,232,215,354,385,250
" ","Struer",143,130,149,103,208,97,122,152,158,121,167,121,94,125,109,114,100,138,126,154
" ","Viborg",855,904,1721,819,600,683,725,722,703,575,729,608,488,477,543,723,641,897,692,621
