"Anmeldte forbrydelser efter overtrædelsens art, område og tid"

" "," ","2018K1","2018K2","2018K3","2018K4","2019K1","2019K2","2019K3","2019K4","2020K1","2020K2","2020K3","2020K4","2021K1","2021K2","2021K3","2021K4","2022K1","2022K2","2022K3","2022K4"
"Lov om euforiserende stoffer"
" ","København",1892,2381,2100,2012,2456,2395,2904,2333,2443,2092,2033,2040,2300,1607,1682,1749,1789,2073,1962,1884
" ","Frederiksberg",48,38,54,49,68,61,43,82,57,88,52,50,74,66,43,52,104,80,45,68
" ","Dragør",4,7,1,2,5,3,4,5,6,4,5,4,8,6,3,6,4,3,7,9
" ","Tårnby",151,137,119,104,61,33,67,57,44,41,52,44,87,42,48,40,56,59,38,61
" ","Albertslund",58,99,56,35,68,22,44,36,49,66,37,52,64,37,38,42,67,39,35,52
" ","Ballerup",50,29,26,28,46,43,74,116,59,49,23,40,63,72,39,34,55,50,34,46
" ","Brøndby",153,73,70,63,71,134,59,64,50,71,59,45,82,64,67,101,64,121,34,35
" ","Gentofte",12,13,13,11,20,16,16,18,18,34,14,26,37,19,30,29,19,53,37,50
" ","Gladsaxe",22,44,29,73,56,48,60,57,42,35,51,42,68,46,28,46,42,39,33,38
" ","Glostrup",26,25,34,32,30,34,33,25,37,20,25,24,32,30,19,29,29,18,12,32
" ","Herlev",27,33,61,46,58,54,30,35,21,33,38,23,42,27,18,24,23,23,16,18
" ","Hvidovre",65,38,54,61,51,46,64,41,48,61,38,77,53,72,38,34,52,32,27,41
" ","Høje-Taastrup",133,86,92,117,68,36,42,46,22,52,49,46,46,51,36,36,64,36,31,49
" ","Ishøj",36,74,59,41,44,30,40,42,33,27,27,35,35,28,21,13,19,15,23,17
" ","Lyngby-Taarbæk",14,11,19,29,33,26,20,15,22,35,20,36,43,21,17,20,27,31,22,28
" ","Rødovre",40,70,52,54,28,36,43,28,34,76,41,36,54,39,27,26,39,28,26,40
" ","Vallensbæk",8,14,8,19,24,12,11,13,16,11,13,15,16,8,10,8,13,9,13,8
" ","Allerød",1,8,11,13,11,8,4,10,4,4,8,14,6,4,5,3,6,5,7,8
" ","Egedal",16,4,8,9,8,5,4,10,5,10,2,9,10,12,12,16,32,19,13,17
" ","Fredensborg",11,14,14,20,18,21,9,26,22,26,17,11,17,18,13,11,17,8,16,24
" ","Frederikssund",25,26,25,26,25,36,36,35,27,35,34,28,39,33,39,30,39,44,32,44
" ","Furesø",10,5,20,20,27,8,11,13,14,16,16,17,19,17,18,16,23,23,21,24
" ","Gribskov",10,14,35,13,18,15,34,8,24,22,20,19,19,18,14,16,34,23,44,15
" ","Halsnæs",7,14,4,11,7,15,18,11,12,32,20,20,22,20,16,13,14,16,20,33
" ","Helsingør",96,140,48,42,33,95,97,120,67,199,60,182,131,111,85,81,78,68,101,133
" ","Hillerød",19,32,26,27,21,43,31,39,34,30,32,35,42,37,52,47,62,84,84,101
" ","Hørsholm",2,3,1,3,1,5,6,8,12,9,5,7,7,4,2,2,3,7,11,14
" ","Rudersdal",7,6,8,14,23,12,14,14,22,34,29,28,24,25,20,10,17,16,28,20
" ","Bornholm",26,35,28,49,49,42,31,35,35,30,42,47,74,46,43,51,57,39,41,44
" ","Christiansø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Greve",16,17,21,23,33,25,23,26,21,36,15,21,17,20,20,24,29,19,16,29
" ","Køge",63,31,28,43,40,45,31,64,47,65,40,66,130,65,86,79,73,97,32,20
" ","Lejre",11,6,4,6,6,5,6,5,6,8,2,5,8,9,5,3,4,8,5,3
" ","Roskilde",95,193,502,67,69,145,341,104,91,107,70,82,59,64,58,65,82,94,73,81
" ","Solrød",11,6,5,5,8,6,12,9,9,6,6,5,10,8,9,7,9,12,9,10
" ","Faxe",14,17,6,3,11,13,7,14,11,10,13,9,19,15,17,21,7,24,15,21
" ","Guldborgsund",27,41,43,69,83,44,67,43,53,28,49,37,65,40,51,34,49,62,62,53
" ","Holbæk",81,62,61,122,89,71,84,70,42,61,59,37,59,48,67,57,69,88,72,62
" ","Kalundborg",23,21,24,15,22,13,21,21,18,30,28,25,34,15,17,18,19,28,44,29
" ","Lolland",15,17,53,37,45,19,26,19,17,17,43,23,15,17,39,38,42,27,47,40
" ","Næstved",58,49,38,34,43,58,61,57,59,67,62,52,78,48,59,69,88,89,73,81
" ","Odsherred",6,14,14,4,12,17,25,20,23,22,18,19,17,27,20,12,26,28,33,40
" ","Ringsted",26,27,17,31,15,24,18,18,28,13,25,19,26,14,28,16,37,16,20,21
" ","Slagelse",44,45,43,54,56,55,51,64,26,28,37,41,26,46,33,48,47,41,69,51
" ","Sorø",8,13,9,11,4,2,7,12,10,6,10,10,22,14,12,14,20,7,8,8
" ","Stevns",8,4,3,8,7,8,5,7,4,10,6,6,15,5,7,7,4,5,3,3
" ","Vordingborg",19,12,11,17,19,32,27,30,22,21,22,36,38,30,48,30,23,24,29,22
" ","Assens",12,8,6,19,8,10,12,20,25,20,8,18,25,12,15,14,8,11,11,26
" ","Faaborg-Midtfyn",55,68,32,52,22,37,55,14,38,27,16,70,55,41,13,8,13,129,36,61
" ","Kerteminde",8,12,6,10,10,6,11,7,14,8,5,3,13,4,9,5,5,5,7,3
" ","Langeland",2,1,2,8,14,2,11,2,5,7,1,4,8,2,6,3,10,3,2,6
" ","Middelfart",14,10,15,17,21,7,11,12,9,10,5,17,16,16,9,12,13,12,13,9
" ","Nordfyns",12,5,4,8,7,10,12,4,4,12,5,5,5,5,6,10,9,13,4,11
" ","Nyborg",66,35,43,27,84,30,74,42,77,34,10,84,69,51,10,50,24,101,38,61
" ","Odense",317,288,219,266,215,249,212,231,217,206,220,204,183,207,202,181,267,303,234,219
" ","Svendborg",53,57,41,78,70,52,51,61,63,55,40,41,42,48,30,46,41,53,42,60
" ","Ærø",0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,10,5,1,0
" ","Billund",44,57,44,57,56,83,59,44,55,30,39,63,75,65,52,45,69,56,66,50
" ","Esbjerg",189,179,162,195,297,169,155,226,1179,228,145,159,188,127,164,162,170,153,118,127
" ","Fanø",6,0,2,0,0,0,0,2,0,0,0,0,1,0,2,0,1,0,5,3
" ","Fredericia",54,90,54,43,57,71,85,106,151,252,115,176,74,59,62,63,70,76,51,47
" ","Haderslev",24,50,52,33,41,26,28,32,27,26,25,39,23,25,55,28,15,41,27,16
" ","Kolding",161,90,117,107,121,82,75,128,115,89,79,69,69,70,77,76,81,73,81,92
" ","Sønderborg",21,52,55,59,60,79,54,45,43,19,39,63,68,48,43,46,55,60,66,61
" ","Tønder",31,49,27,49,63,56,75,63,57,51,49,90,80,74,55,38,54,39,49,37
" ","Varde",43,21,22,27,53,37,38,26,47,35,37,13,30,36,21,18,23,12,27,23
" ","Vejen",20,27,22,18,23,20,27,15,17,25,11,11,17,8,10,13,21,19,12,23
" ","Vejle",87,106,106,129,143,139,111,127,98,167,130,111,164,128,136,147,160,145,121,154
" ","Aabenraa",71,68,78,97,109,103,93,110,95,78,128,81,68,80,103,108,108,146,114,105
" ","Favrskov",14,15,7,19,11,9,9,14,12,9,20,10,34,20,9,11,21,13,17,26
" ","Hedensted",28,34,25,21,9,11,23,15,12,23,11,16,19,19,20,18,17,8,15,15
" ","Horsens",98,95,90,71,106,102,92,76,112,109,82,62,117,90,109,113,102,99,88,106
" ","Norddjurs",32,26,33,35,23,19,37,32,21,22,26,21,24,18,12,13,25,23,56,23
" ","Odder",9,10,9,0,9,3,8,1,13,2,9,1,4,0,4,11,8,7,2,4
" ","Randers",83,101,136,113,168,132,148,439,311,209,284,154,147,105,153,113,133,141,177,163
" ","Samsø",1,0,11,1,0,0,12,8,2,2,2,3,5,0,1,4,4,0,18,3
" ","Silkeborg",103,79,65,105,107,101,83,94,83,100,70,76,103,103,97,71,73,65,82,72
" ","Skanderborg",12,16,87,16,5,13,74,16,11,20,16,17,27,17,19,11,26,11,79,24
" ","Syddjurs",9,19,13,23,17,20,20,15,8,19,12,26,27,10,11,15,17,14,11,16
" ","Aarhus",459,431,500,589,490,466,494,473,440,499,372,522,555,482,508,479,548,670,613,582
" ","Herning",35,58,47,60,93,75,70,73,89,137,75,93,84,69,72,60,71,52,77,73
" ","Holstebro",54,61,67,44,87,62,62,111,56,48,51,59,54,61,62,67,61,60,69,113
" ","Ikast-Brande",25,50,41,29,42,34,29,36,18,40,25,29,39,14,13,18,24,27,49,26
" ","Lemvig",1,9,5,5,18,16,24,18,18,19,8,13,15,21,17,9,9,11,6,5
" ","Ringkøbing-Skjern",29,9,25,24,15,14,23,18,16,23,10,21,23,30,21,24,12,13,17,19
" ","Skive",11,30,22,19,31,27,21,248,70,63,49,47,56,58,51,29,37,55,48,44
" ","Struer",16,4,6,10,18,23,22,22,18,19,17,19,33,8,15,21,20,17,26,24
" ","Viborg",103,89,71,84,133,82,95,79,84,95,86,75,90,84,66,62,79,101,76,90
" ","Brønderslev",9,18,6,10,6,23,6,19,13,17,10,16,15,29,22,15,18,32,19,21
" ","Frederikshavn",82,80,62,76,72,63,53,57,41,40,40,64,31,71,61,57,87,46,75,63
" ","Hjørring",44,44,36,40,26,63,61,48,40,46,58,65,53,59,37,42,88,81,56,79
" ","Jammerbugt",13,13,11,24,17,19,12,12,13,14,17,18,17,11,11,16,15,15,25,13
" ","Læsø",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
" ","Mariagerfjord",33,32,28,32,20,41,28,10,15,19,29,26,18,25,20,32,30,18,17,16
" ","Morsø",11,10,4,20,5,12,14,12,11,12,3,15,17,8,5,4,6,2,8,5
" ","Rebild",7,5,23,10,5,4,9,11,6,3,8,10,4,7,2,9,20,7,3,7
" ","Thisted",27,27,24,18,28,21,39,34,31,26,29,28,28,11,16,20,27,51,43,28
" ","Vesthimmerlands",25,27,17,12,8,19,15,17,17,17,9,10,14,16,14,17,16,19,14,13
" ","Aalborg",243,382,298,254,231,449,228,181,232,204,181,182,226,159,140,152,214,284,243,209
" ","Uoplyst kommune",47,18,23,45,47,28,15,36,41,29,28,24,221,39,33,33,35,17,72,40

"Straffelovens bestemmelser vedr. seksualforbrydelser gennemgik "
"væsentlige ændringer med virkning fra 1. juli 2013. Ændringerne betød "
"bl.a., at der nu er flere kategorier af seksualforbrydelser end "
"tidligere, der henføres under bestemmelserne om voldtægt (§216). Se "
"mere herom i statistikdokumentationen, i afsnittet Sammenlignelighed: "
"http://www.dst.dk/statistikdokumentation/c1ac7749-1e15-4d3a-8ed0-fb2d-"
"26a9fe93 "

