;;;;;
municipality;2018;2019;2020;2021;2022
København;92898;99855;81987;75575;86578
Frederiksberg;7502;7733;7440;7185;8220
Dragør;533;699;644;535;535
Tårnby;8187;7899;4882;4776;7796
Albertslund;2591;2682;3466;2136;2772
Ballerup;3770;4029;3598;3367;3790
Brøndby;3863;3144;2634;2951;3193
Gentofte;5884;5668;4579;4510;4925
Gladsaxe;4645;4500;4198;3499;4644
Glostrup;2872;2657;2306;2127;2361
Herlev;2805;2950;3006;2377;3419
Hvidovre;4520;4210;4534;3661;4016
Høje-Taastrup;4470;4645;4297;3890;4751
Ishøj;2282;2120;2039;1696;1878
Lyngby-Taarbæk;5140;4418;3482;3371;4119
Rødovre;3397;3355;3214;2954;3486
Vallensbæk;911;989;785;701;819
Allerød;3747;1874;1131;1066;1806
Egedal;1805;1601;1512;1507;1886
Fredensborg;1891;1809;1704;1691;1979
Frederikssund;2695;2883;2579;2526;2583
Furesø;2227;2051;1737;1741;2114
Gribskov;2473;2663;2250;2188;2688
Halsnæs;1814;2055;1849;1703;1824
Helsingør;4611;4884;4312;4224;5357
Hillerød;3575;3501;3134;3430;4016
Hørsholm;2759;2285;2652;1551;2366
Rudersdal;3708;3774;3098;2812;3072
Bornholm;1660;1776;1501;1697;1789
Christiansø;1;0;0;0;2
Greve;3575;3495;3230;2938;3407
Køge;3897;3970;4096;3624;3718
Lejre;1592;1087;880;1098;1225
Roskilde;7825;7044;5015;5010;6202
Solrød;1211;1227;1007;1035;1188
Faxe;1862;1758;2525;1484;1946
Guldborgsund;4538;5085;4518;3550;3931
Holbæk;4409;4393;5023;3611;4511
Kalundborg;2841;3013;2306;2511;2907
Lolland;4365;4878;3153;5466;3419
Næstved;6396;5083;5647;4217;5205
Odsherred;2534;2326;2157;1704;2341
Ringsted;2413;2128;2262;2093;2095
Slagelse;8412;6447;6117;4613;5347
Sorø;1844;1752;1472;1344;1311
Stevns;983;805;788;858;954
Vordingborg;2748;2779;2412;2428;3017
Assens;1890;2214;2628;1829;1650
Faaborg-Midtfyn;2519;2148;2235;2175;2252
Kerteminde;1100;1079;1121;1081;915
Langeland;618;645;582;557;737
Middelfart;2181;2263;2087;1985;2261
Nordfyns;1611;1417;1398;1257;1207
Nyborg;2097;2230;2037;2029;2267
Odense;15967;16519;17013;14104;16675
Svendborg;3296;3294;3261;3311;3336
Ærø;457;166;149;118;170
Billund;2030;2174;1701;1824;1979
Esbjerg;9421;9357;9246;8077;8316
Fanø;233;153;160;155;183
Fredericia;4714;4786;4279;3928;4285
Haderslev;3439;3125;2719;2969;3216
Kolding;7950;6807;5857;5737;6413
Sønderborg;4446;4130;3334;3293;3905
Tønder;2610;3105;2224;2167;2320
Varde;3059;2911;2373;2169;2397
Vejen;2183;2225;2107;1897;2560
Vejle;8162;7862;6400;6469;6925
Aabenraa;5285;5344;5528;4723;4987
Favrskov;2039;1954;1785;1653;1757
Hedensted;2294;2113;1727;1640;1864
Horsens;6442;6375;5034;5252;5563
Norddjurs;2245;2264;2006;1785;1969
Odder;949;802;734;715;882
Randers;6540;7777;7305;7064;6824
Samsø;177;163;154;114;181
Silkeborg;5238;4704;4374;4096;4219
Skanderborg;2933;2795;2082;2322;2323
Syddjurs;2203;1961;1941;1735;1843
Aarhus;31581;30534;28031;27201;31748
Herning;6262;5807;5404;4656;7079
Holstebro;3922;3860;3134;3584;3251
Ikast-Brande;16093;10939;4282;2979;4871
Lemvig;704;759;794;797;676
Ringkøbing-Skjern;2420;2087;1958;1983;2201
Skive;2333;2559;2183;1975;2518
Struer;894;1257;979;923;995
Viborg;6860;4955;4550;4980;10227
Brønderslev;1798;1605;1428;1488;1552
Frederikshavn;4695;3579;2932;2754;3034
Hjørring;3546;3276;2680;2623;3277
Jammerbugt;1929;1765;1597;1558;1467
Læsø;73;56;43;30;42
Mariagerfjord;2329;2139;2038;1969;1956
Morsø;976;992;868;708;870
Rebild;1161;1152;1195;1043;1047
Thisted;2348;2016;1577;1726;2102
Vesthimmerlands;1936;1824;1737;2223;1651
Aalborg;15839;15456;11973;11290;14943
Uoplyst kommune;33116;37391;42306;39430;39910
