"Anmeldte forbrydelser og sigtelser efter anmeldte og sigtede,"
"overtrædelsens art, område og tid"

" "," "," ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Anmeldt"
" ","Overtrædelsens art i alt"
" "," ","København",104867,105541,102004,98887,108000,97962,92898,99855,81987,75575,86578
" "," ","Frederiksberg",10361,10169,9630,9071,8747,9096,7502,7733,7440,7185,8220
" "," ","Dragør",771,630,527,611,612,666,533,699,644,535,535
" "," ","Tårnby",7144,7310,7776,10024,8831,8830,8187,7899,4882,4776,7796
" "," ","Albertslund",2882,3244,2816,2700,3006,2696,2591,2682,3466,2136,2772
" "," ","Ballerup",4245,4763,4566,4376,4681,4365,3770,4029,3598,3367,3790
" "," ","Brøndby",3400,3626,3860,3388,4116,3827,3863,3144,2634,2951,3193
" "," ","Gentofte",6246,5917,5991,5341,6076,6497,5884,5668,4579,4510,4925
" "," ","Gladsaxe",4895,5266,4920,5221,5050,4731,4645,4500,4198,3499,4644
" "," ","Glostrup",2596,2701,2787,2937,3090,2723,2872,2657,2306,2127,2361
" "," ","Herlev",2685,2941,2797,2850,2702,2669,2805,2950,3006,2377,3419
" "," ","Hvidovre",5047,5453,5053,4576,4533,4852,4520,4210,4534,3661,4016
" "," ","Høje-Taastrup",4157,4614,4588,4981,5199,4790,4470,4645,4297,3890,4751
" "," ","Ishøj",2169,2268,2121,2191,2068,2030,2282,2120,2039,1696,1878
" "," ","Lyngby-Taarbæk",5384,5060,5344,5318,4924,4933,5140,4418,3482,3371,4119
" "," ","Rødovre",3931,3881,3604,3646,3568,3656,3397,3355,3214,2954,3486
" "," ","Vallensbæk",1102,1073,1039,912,924,939,911,989,785,701,819
" "," ","Allerød",3010,6858,6383,6014,6326,3426,3747,1874,1131,1066,1806
" "," ","Egedal",2134,2057,2029,1891,2024,1822,1805,1601,1512,1507,1886
" "," ","Fredensborg",2768,2829,2884,2476,2189,2036,1891,1809,1704,1691,1979
" "," ","Frederikssund",2948,3482,3074,2808,2883,2914,2695,2883,2579,2526,2583
" "," ","Furesø",2492,2560,2551,2341,2675,2398,2227,2051,1737,1741,2114
" "," ","Gribskov",2718,2562,3194,3104,2790,2638,2473,2663,2250,2188,2688
" "," ","Halsnæs",2811,2577,2402,1795,2119,2520,1814,2055,1849,1703,1824
" "," ","Helsingør",6374,6851,6139,5270,5268,5687,4611,4884,4312,4224,5357
" "," ","Hillerød",4307,4202,4014,3802,4191,3765,3575,3501,3134,3430,4016
" "," ","Hørsholm",1673,1670,1730,1811,1873,2344,2759,2285,2652,1551,2366
" "," ","Rudersdal",4055,3352,3803,3833,4073,4031,3708,3774,3098,2812,3072
" "," ","Bornholm",1825,2158,1910,1819,1784,1729,1660,1776,1501,1697,1789
" "," ","Christiansø",0,0,0,1,0,1,1,0,0,0,2
" "," ","Greve",4600,4674,4414,3865,4044,3716,3575,3495,3230,2938,3407
" "," ","Køge",5445,5590,5275,4485,4826,4675,3897,3970,4096,3624,3718
" "," ","Lejre",1396,1375,1349,1133,1227,1174,1592,1087,880,1098,1225
" "," ","Roskilde",9432,9396,9191,8603,8212,8685,7825,7044,5015,5010,6202
" "," ","Solrød",1476,1508,1293,1277,1185,1248,1211,1227,1007,1035,1188
" "," ","Faxe",2204,2354,2350,2306,2484,2039,1862,1758,2525,1484,1946
" "," ","Guldborgsund",4723,5447,5162,4772,5250,4872,4538,5085,4518,3550,3931
" "," ","Holbæk",5254,5816,4898,4281,4542,4730,4409,4393,5023,3611,4511
" "," ","Kalundborg",3573,3573,3376,2945,3061,2991,2841,3013,2306,2511,2907
" "," ","Lolland",3758,4169,4032,5486,5532,4499,4365,4878,3153,5466,3419
" "," ","Næstved",5890,5898,6216,5634,6235,5523,6396,5083,5647,4217,5205
" "," ","Odsherred",2696,2576,2556,2139,2293,2670,2534,2326,2157,1704,2341
" "," ","Ringsted",2776,2440,2519,2750,2398,2727,2413,2128,2262,2093,2095
" "," ","Slagelse",7503,7241,7507,7768,7598,7016,8412,6447,6117,4613,5347
" "," ","Sorø",1929,1928,2249,1948,2331,2132,1844,1752,1472,1344,1311
" "," ","Stevns",983,1036,1000,914,926,891,983,805,788,858,954
" "," ","Vordingborg",3119,2931,3166,3174,3577,3387,2748,2779,2412,2428,3017
" "," ","Assens",2406,2363,2125,1781,1923,1603,1890,2214,2628,1829,1650
" "," ","Faaborg-Midtfyn",2972,2407,2837,2330,2153,2414,2519,2148,2235,2175,2252
" "," ","Kerteminde",1405,1386,1232,1154,924,977,1100,1079,1121,1081,915
" "," ","Langeland",782,583,592,556,572,601,618,645,582,557,737
" "," ","Middelfart",2729,2510,2605,1984,2170,2462,2181,2263,2087,1985,2261
" "," ","Nordfyns",1740,1396,1521,1247,1390,1228,1611,1417,1398,1257,1207
" "," ","Nyborg",2845,2260,2312,2139,2168,2315,2097,2230,2037,2029,2267
" "," ","Odense",20979,21051,19528,17746,17240,16923,15967,16519,17013,14104,16675
" "," ","Svendborg",3893,3756,3335,3072,2895,3591,3296,3294,3261,3311,3336
" "," ","Ærø",192,203,160,144,160,340,457,166,149,118,170
" "," ","Billund",2594,2341,2048,1981,1756,1981,2030,2174,1701,1824,1979
" "," ","Esbjerg",10198,9681,9652,8930,8875,8676,9421,9357,9246,8077,8316
" "," ","Fanø",183,166,183,146,143,178,233,153,160,155,183
" "," ","Fredericia",5275,5968,5435,5220,5366,5442,4714,4786,4279,3928,4285
" "," ","Haderslev",4258,4159,4546,4017,4508,3830,3439,3125,2719,2969,3216
" "," ","Kolding",7823,8004,8204,8125,7150,8076,7950,6807,5857,5737,6413
" "," ","Sønderborg",5074,5136,5040,4129,4620,4639,4446,4130,3334,3293,3905
" "," ","Tønder",2828,2814,2673,2388,2178,2154,2610,3105,2224,2167,2320
" "," ","Varde",3257,3043,2921,2744,2663,2841,3059,2911,2373,2169,2397
" "," ","Vejen",2955,3402,2470,2276,2218,2103,2183,2225,2107,1897,2560
" "," ","Vejle",8992,8803,8270,8075,7461,7778,8162,7862,6400,6469,6925
" "," ","Aabenraa",5627,5355,5553,5783,5671,5645,5285,5344,5528,4723,4987
" "," ","Favrskov",2426,2378,2064,2051,1982,3163,2039,1954,1785,1653,1757
" "," ","Hedensted",2577,2288,2030,2123,2209,2267,2294,2113,1727,1640,1864
