"Anmeldte forbrydelser efter overtrædelsens art, område og tid"

" "," ","2018K1","2018K2","2018K3","2018K4","2019K1","2019K2","2019K3","2019K4","2020K1","2020K2","2020K3","2020K4","2021K1","2021K2","2021K3","2021K4","2022K1","2022K2","2022K3","2022K4","2023K1"
"Miljøloven"
" ","København",38,45,20,63,52,29,32,64,32,38,25,51,233,339,115,124,1094,432,1096,1634,2777
" ","Frederiksberg",0,0,0,4,0,1,0,1,0,1,0,2,1,6,0,0,1,2,6,3,2
" ","Dragør",0,0,1,0,0,2,3,2,1,2,5,3,5,3,2,2,5,4,1,1,2
" ","Tårnby",9,3,6,9,33,5,3,19,12,6,5,5,5,8,2,7,10,4,6,3,13
" ","Albertslund",2,4,4,0,6,0,14,5,0,8,3,3,0,7,1,0,1,4,3,2,1
" ","Ballerup",0,3,2,4,2,1,3,3,1,2,2,0,2,0,1,2,2,2,1,3,7
" ","Brøndby",0,2,2,3,1,3,2,2,0,1,1,0,1,1,1,0,4,4,1,0,2
" ","Gentofte",4,11,5,1,1,5,1,3,1,2,1,2,4,2,3,3,2,3,4,8,3
" ","Gladsaxe",2,2,2,0,3,2,1,1,1,1,1,3,2,2,2,0,2,11,7,8,1
" ","Glostrup",6,1,2,1,1,3,3,0,0,1,2,9,2,4,0,4,1,0,0,0,2
" ","Herlev",1,1,0,0,1,2,2,1,0,1,23,0,1,2,0,0,0,1,2,1,1
" ","Hvidovre",1,3,3,2,3,2,2,3,0,3,7,3,5,6,3,2,4,4,0,3,0
" ","Høje-Taastrup",6,2,4,3,4,0,5,5,3,6,1,27,4,3,4,4,1,10,1,6,3
" ","Ishøj",0,1,0,0,0,0,1,1,4,1,2,2,1,1,0,4,1,2,1,2,4
" ","Lyngby-Taarbæk",5,4,4,9,0,0,13,1,1,1,12,5,1,31,6,5,11,22,19,7,9
" ","Rødovre",2,0,0,0,2,1,5,2,3,0,2,2,14,5,3,6,5,4,1,3,2
" ","Vallensbæk",0,2,0,0,0,1,0,0,1,1,2,1,2,1,0,1,0,0,0,1,0
" ","Allerød",1,21,9,5,1,1,8,1,2,0,3,1,3,3,3,2,1,10,3,0,4
" ","Egedal",5,4,1,6,1,1,0,7,0,3,2,4,2,4,1,2,1,7,3,12,2
" ","Fredensborg",3,7,2,5,0,0,9,6,3,3,3,3,2,6,4,5,5,5,1,2,2
" ","Frederikssund",5,22,3,72,3,6,6,70,6,4,2,64,4,7,2,33,29,2,7,49,7
" ","Furesø",1,14,22,7,8,3,3,5,5,2,4,5,7,3,2,4,5,6,3,8,7
" ","Gribskov",18,12,10,54,11,10,11,41,21,13,10,73,15,36,15,67,11,20,30,46,11
" ","Halsnæs",2,2,4,17,3,5,6,11,1,3,3,10,1,2,5,13,1,3,4,23,4
" ","Helsingør",8,7,14,13,0,7,3,19,3,7,4,12,1,10,4,9,4,6,5,9,12
" ","Hillerød",7,5,9,8,1,10,9,7,6,1,9,8,1,12,12,13,2,8,7,12,1
" ","Hørsholm",0,0,1,2,0,0,1,1,2,0,2,4,3,0,3,2,1,1,2,2,1
" ","Rudersdal",12,10,5,1,7,2,1,5,2,3,5,2,1,0,3,1,1,1,5,2,0
" ","Bornholm",8,13,4,10,5,7,4,7,4,9,6,3,6,5,9,13,5,10,7,6,4
" ","Christiansø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Greve",2,0,6,2,1,2,0,2,0,1,2,4,3,1,2,1,1,2,4,3,0
" ","Køge",11,1,6,12,3,3,3,15,5,5,7,11,3,3,7,6,7,2,1,9,36
" ","Lejre",6,8,3,2,1,3,1,5,3,6,6,4,3,5,8,6,6,0,8,7,1
" ","Roskilde",10,14,8,7,2,6,5,10,3,6,8,18,5,7,5,9,1,6,6,5,5
" ","Solrød",1,4,4,2,3,0,1,4,0,2,1,1,0,1,1,2,1,0,1,2,0
" ","Faxe",4,14,3,7,3,2,6,8,1,4,7,4,1,1,4,7,2,3,7,5,4
" ","Guldborgsund",10,15,11,11,9,4,3,9,7,13,17,16,14,10,7,7,9,11,6,13,15
" ","Holbæk",14,25,8,20,11,10,8,25,3,6,10,19,11,14,6,23,6,13,13,25,17
" ","Kalundborg",14,17,4,11,11,5,5,16,5,7,11,14,4,6,7,4,9,8,8,11,6
" ","Lolland",7,15,7,15,4,2,9,8,6,5,5,32,3,18,15,22,5,7,9,13,3
" ","Næstved",17,12,6,8,3,6,13,10,18,14,17,20,9,12,12,17,14,4,10,12,5
" ","Odsherred",25,17,9,30,3,4,9,14,4,8,10,15,3,5,4,8,9,12,5,11,37
" ","Ringsted",14,11,1,4,1,3,1,5,2,6,5,15,6,4,3,7,5,3,5,5,3
" ","Slagelse",15,10,12,14,13,6,9,6,4,20,14,13,5,3,8,6,10,8,6,7,8
" ","Sorø",16,11,4,5,0,1,1,12,1,4,5,12,1,1,2,9,3,7,6,5,3
" ","Stevns",3,5,1,2,1,1,2,4,2,7,6,7,0,2,4,15,4,4,3,6,2
" ","Vordingborg",10,5,3,11,4,4,7,9,11,6,4,4,5,10,6,14,7,5,6,13,3
" ","Assens",12,10,3,4,7,1,3,16,3,5,9,6,6,3,11,4,3,8,4,8,5
" ","Faaborg-Midtfyn",25,9,2,11,0,7,1,11,3,13,7,8,2,3,10,11,5,9,5,10,10
" ","Kerteminde",12,1,1,2,2,0,1,3,0,10,8,1,3,6,2,3,2,3,0,2,2
" ","Langeland",6,5,1,2,1,1,0,2,1,3,3,3,3,1,0,2,4,6,3,5,2
" ","Middelfart",6,7,2,3,2,2,3,9,1,9,7,9,3,6,1,3,5,4,4,5,2
" ","Nordfyns",18,18,6,7,7,11,8,13,2,3,11,10,7,3,8,17,6,2,3,10,3
" ","Nyborg",5,7,3,2,0,2,3,5,0,3,6,7,2,4,2,4,2,3,1,3,3
" ","Odense",26,25,11,14,10,10,9,21,12,22,25,15,55,120,72,50,232,118,341,363,428
" ","Svendborg",9,14,2,11,1,1,3,5,3,5,6,9,4,3,5,8,4,1,2,12,5
" ","Ærø",1,3,0,0,0,1,2,2,0,3,0,2,1,2,1,1,0,0,0,1,0
" ","Billund",29,5,18,20,69,15,26,25,66,3,15,2,9,8,10,7,25,14,17,24,11
" ","Esbjerg",8,22,7,10,3,6,5,6,7,10,9,20,12,16,5,18,7,7,11,16,13
" ","Fanø",4,1,1,0,0,1,0,2,1,1,2,1,0,1,2,0,0,0,0,0,0
" ","Fredericia",2,2,1,3,2,3,1,7,4,12,5,5,3,4,6,6,3,5,2,3,3
" ","Haderslev",15,24,14,13,5,9,6,11,5,14,19,15,4,15,8,9,8,5,9,11,5
" ","Kolding",12,10,5,11,4,8,9,14,2,5,17,8,12,12,8,10,6,7,7,8,1
" ","Sønderborg",5,18,7,12,6,8,12,7,6,6,8,3,6,10,6,5,3,7,4,2,7
" ","Tønder",14,22,7,10,6,6,13,17,0,11,5,11,12,13,3,16,16,20,14,9,13
" ","Varde",11,13,7,9,2,8,5,6,5,12,13,11,13,7,9,10,7,7,10,9,11
" ","Vejen",8,11,3,12,2,9,4,8,3,6,9,10,15,4,6,8,4,3,2,5,0
" ","Vejle",23,22,9,22,4,12,8,21,6,7,14,15,12,1,4,20,4,3,7,15,10
" ","Aabenraa",19,12,8,15,4,4,0,18,9,11,17,14,11,21,8,11,10,13,5,19,13
" ","Favrskov",16,17,4,15,2,5,7,22,2,7,17,9,4,4,1,10,1,3,7,10,1
" ","Hedensted",7,11,0,9,4,4,10,14,8,5,14,11,3,4,3,5,4,9,3,13,1
" ","Horsens",20,54,62,19,20,3,6,10,34,8,13,7,16,9,5,15,1,11,45,11,8
" ","Norddjurs",17,7,2,6,14,6,6,12,5,5,8,7,6,6,5,2,7,5,4,7,1
" ","Odder",3,3,0,3,1,2,1,2,0,1,2,4,0,2,2,4,2,0,2,5,0
" ","Randers",14,11,2,16,2,5,5,15,9,6,19,20,6,6,6,16,8,7,14,18,2
" ","Samsø",6,1,0,2,0,3,2,8,0,3,1,2,0,1,0,2,0,2,0,3,0
" ","Silkeborg",23,20,2,9,4,6,8,17,6,4,26,17,18,8,6,18,10,6,11,6,6
" ","Skanderborg",11,9,5,9,5,4,2,19,2,4,7,12,9,13,2,3,2,5,2,5,22
" ","Syddjurs",33,8,14,25,13,2,0,11,28,9,17,22,9,4,4,11,8,6,7,11,4
" ","Aarhus",26,18,10,15,15,10,10,13,9,11,25,26,25,20,22,37,39,337,284,426,396
" ","Herning",25,15,5,14,3,4,7,10,6,5,9,14,6,6,5,6,4,7,13,21,4
" ","Holstebro",7,16,0,7,3,0,7,5,4,3,9,13,2,1,4,6,0,4,10,9,3
" ","Ikast-Brande",21,16,4,7,1,6,1,9,0,4,5,6,2,5,2,4,1,2,6,4,1
" ","Lemvig",2,8,10,8,4,7,11,6,2,4,8,8,4,5,1,2,4,4,2,6,0
" ","Ringkøbing-Skjern",14,10,5,7,4,7,3,6,3,12,6,5,18,6,2,9,12,10,8,8,5
" ","Skive",12,11,14,17,7,10,9,7,5,6,12,6,11,2,4,5,7,8,4,8,1
" ","Struer",4,6,1,2,0,0,3,1,1,2,2,3,0,0,0,4,2,1,4,7,1
" ","Viborg",38,12,6,20,2,5,6,20,6,5,8,11,8,8,12,20,8,7,8,16,5
" ","Brønderslev",8,17,7,14,3,9,7,7,2,8,11,11,3,14,2,10,5,7,3,8,4
" ","Frederikshavn",12,13,5,2,7,1,7,4,5,8,4,8,4,2,5,4,4,5,7,19,8
" ","Hjørring",17,13,7,17,4,4,9,13,9,4,20,16,8,7,10,6,7,14,8,21,4
" ","Jammerbugt",19,8,4,13,2,1,4,10,4,5,9,8,5,5,3,4,4,6,6,9,4
" ","Læsø",1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0
" ","Mariagerfjord",11,14,3,15,6,2,1,10,3,9,7,11,1,6,3,9,7,5,12,14,3
" ","Morsø",8,9,1,4,3,16,3,4,0,1,5,2,2,1,2,1,2,2,4,8,2
" ","Rebild",26,23,14,19,4,11,22,12,14,51,21,12,8,24,12,6,17,4,10,14,15
" ","Thisted",9,7,5,10,5,3,14,8,3,7,14,13,1,11,7,14,8,3,5,14,4
