"Anmeldte forbrydelser efter overtrædelsens art, område og tid"

" "," ","2018K1","2018K2","2018K3","2018K4","2019K1","2019K2","2019K3","2019K4","2020K1","2020K2","2020K3","2020K4","2021K1","2021K2","2021K3","2021K4","2022K1","2022K2","2022K3","2022K4"
"Overtrædelsens art i alt"
" ","København",21091,23430,21998,22640,22844,23092,22843,25070,23110,15278,19615,17747,16732,16047,18935,18453,17662,19961,21319,22274
" ","Frederiksberg",1864,1821,1745,1800,1597,1713,1779,2128,1874,1481,1966,1842,1677,1671,1674,1739,1740,1802,1978,2278
" ","Dragør",124,126,117,142,158,153,159,190,129,143,147,169,127,114,125,142,116,117,139,124
" ","Tårnby",1768,1962,2037,2081,1811,1705,1963,1895,1708,931,1075,942,878,904,1211,1167,1309,1538,1515,1397
" ","Albertslund",510,774,618,605,694,611,651,651,714,1356,683,620,597,464,481,475,622,743,549,569
" ","Ballerup",934,808,930,1016,975,918,1002,1015,947,734,942,823,775,855,855,786,856,973,897,836
" ","Brøndby",1038,859,871,896,823,772,669,767,651,624,619,620,710,682,631,761,742,945,640,732
" ","Gentofte",1384,1475,1480,1388,1258,1465,1352,1429,1118,981,1099,1111,842,1074,1180,1130,1137,1232,1224,1092
" ","Gladsaxe",941,1163,1237,1247,1056,1105,1047,1127,903,861,1439,886,816,826,745,913,978,1457,972,1045
" ","Glostrup",705,709,701,694,674,577,497,681,565,577,511,575,497,467,519,504,531,568,567,539
" ","Herlev",641,714,693,718,681,698,601,891,1170,530,709,523,821,431,569,489,466,511,671,520
" ","Hvidovre",1048,1085,1133,1154,994,1045,1063,991,970,954,1017,1466,826,846,918,892,925,914,952,1017
" ","Høje-Taastrup",1119,1078,1028,1124,1170,1160,948,1251,966,778,939,1402,839,894,945,945,1029,1062,944,1153
" ","Ishøj",441,537,544,511,555,465,435,594,482,423,427,626,413,363,428,406,457,414,475,441
" ","Lyngby-Taarbæk",1273,1176,1168,1369,1144,1010,1031,1092,877,695,927,846,614,778,810,966,908,1025,1036,940
" ","Rødovre",772,866,838,875,766,882,769,863,775,689,788,871,701,697,641,723,745,737,905,957
" ","Vallensbæk",183,219,238,253,247,238,242,228,209,161,182,203,166,138,152,190,192,214,195,177
" ","Allerød",500,437,2159,501,391,422,455,507,378,187,280,233,179,192,287,321,414,414,459,410
" ","Egedal",453,374,427,510,356,392,354,432,332,337,378,402,340,331,396,365,458,448,411,489
" ","Fredensborg",479,481,398,479,429,458,403,459,433,326,431,419,319,397,456,415,427,394,499,473
" ","Frederikssund",528,646,663,771,566,773,680,779,601,528,675,667,538,652,595,601,624,615,569,661
" ","Furesø",566,621,455,534,515,517,490,462,462,369,421,408,390,383,436,437,417,486,575,544
" ","Gribskov",538,552,625,655,595,603,695,671,512,505,531,594,505,469,554,547,618,542,735,606
" ","Halsnæs",372,460,375,546,458,532,490,492,407,416,539,406,378,398,393,445,392,420,478,432
" ","Helsingør",1092,1146,1098,1123,1004,1190,1112,1293,1022,951,1117,1032,942,871,1080,1018,1134,1155,1322,1346
" ","Hillerød",774,799,825,913,906,759,805,920,854,610,720,784,702,800,834,885,871,917,972,1014
" ","Hørsholm",341,491,706,417,522,328,552,731,1144,855,326,299,347,358,375,396,353,436,846,529
" ","Rudersdal",948,914,889,876,867,907,888,1007,773,681,766,764,562,628,675,712,685,725,766,755
" ","Bornholm",318,449,395,397,411,469,447,359,375,279,431,347,363,388,419,438,362,427,525,425
" ","Christiansø",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
" ","Greve",831,867,808,900,794,738,854,927,825,771,770,650,632,614,653,738,808,932,683,762
" ","Køge",1032,975,816,913,934,889,865,1011,989,836,830,907,783,752,780,938,881,859,839,831
" ","Lejre",292,327,502,421,307,246,245,242,239,196,210,201,234,373,225,199,293,372,223,249
" ","Roskilde",1453,1829,2537,1754,1351,1327,2375,1581,1191,1134,1212,1193,1009,1121,1158,1381,1325,1579,1673,1329
" ","Solrød",252,251,273,364,300,276,270,313,267,225,242,241,199,208,267,274,259,280,282,282
" ","Faxe",416,420,429,559,400,367,479,452,406,375,443,405,257,338,395,382,356,412,445,619
" ","Guldborgsund",1051,1082,1035,1223,1317,1114,1173,1265,1051,872,951,833,874,799,838,851,955,957,922,910
" ","Holbæk",950,1038,1071,1146,1149,900,990,1100,1177,1462,1226,979,809,810,808,898,859,952,836,887
" ","Kalundborg",592,735,625,717,613,589,546,880,585,498,574,521,493,829,502,514,630,809,699,610
" ","Lolland",785,1070,1165,1217,1562,1047,1055,1042,778,679,859,639,580,875,723,3054,730,901,843,783
" ","Næstved",1098,1297,1631,1926,1382,1092,1195,1255,1189,977,1150,2088,1039,967,929,1039,1214,1159,1280,1269
" ","Odsherred",601,596,559,631,525,548,527,593,675,490,475,408,384,325,409,445,518,549,568,582
" ","Ringsted",561,598,550,547,519,510,442,518,570,476,456,489,327,558,614,467,467,552,474,454
" ","Slagelse",3376,1534,1484,1768,1580,1556,1580,1495,1533,1918,1178,1232,986,992,1021,1257,1165,1285,1239,1341
" ","Sorø",427,467,372,436,409,380,401,429,394,330,339,307,270,298,306,415,351,324,260,303
" ","Stevns",204,267,211,258,184,166,225,175,198,250,165,134,172,175,200,254,172,220,247,246
" ","Vordingborg",662,633,649,714,664,627,767,628,615,501,591,505,480,505,580,742,1027,684,598,585
" ","Assens",491,407,369,498,532,441,496,592,702,555,517,598,443,373,485,400,318,363,379,414
" ","Faaborg-Midtfyn",602,585,533,652,531,504,524,467,522,506,510,605,516,457,516,515,425,579,467,518
" ","Kerteminde",192,225,342,293,272,248,290,185,224,259,335,198,204,275,244,289,192,189,254,185
" ","Langeland",112,140,164,179,181,137,198,93,138,168,127,117,97,114,160,138,162,159,165,211
" ","Middelfart",466,555,522,540,496,540,561,551,437,454,590,505,362,398,507,550,420,561,541,451
" ","Nordfyns",304,317,301,433,323,342,307,326,381,322,305,334,333,216,291,309,240,229,337,262
