"Anmeldte forbrydelser efter overtrædelsens art, område og tid"

" "," ","2018K1","2018K2","2018K3","2018K4","2019K1","2019K2","2019K3","2019K4","2020K1","2020K2","2020K3","2020K4","2021K1","2021K2","2021K3","2021K4","2022K1","2022K2","2022K3","2022K4"
"Salg af narkotika mv."
" ","København",80,77,47,68,86,84,71,69,78,68,90,81,121,78,79,55,85,86,62,79
" ","Frederiksberg",5,2,9,8,7,6,7,6,10,6,10,9,7,1,8,6,4,11,3,5
" ","Dragør",0,0,1,0,0,2,4,0,0,0,1,0,0,0,0,0,2,0,0,2
" ","Tårnby",7,5,0,7,5,3,2,3,1,2,6,0,2,2,2,2,7,2,0,1
" ","Albertslund",0,1,3,7,0,0,3,4,2,3,1,2,1,3,0,3,3,2,2,5
" ","Ballerup",112,2,5,3,6,3,13,2,4,5,1,1,1,3,2,2,3,1,2,3
" ","Brøndby",2,5,1,7,2,6,4,3,6,6,0,2,9,2,0,1,7,6,3,5
" ","Gentofte",3,0,1,0,0,2,2,1,0,1,1,1,1,1,3,0,1,2,2,3
" ","Gladsaxe",1,1,3,1,7,4,4,2,4,1,1,7,3,8,1,2,3,9,5,5
" ","Glostrup",4,0,1,2,2,5,0,0,2,3,3,3,1,2,0,0,2,0,4,3
" ","Herlev",2,1,4,0,3,3,1,1,0,3,2,0,0,1,2,4,1,2,0,1
" ","Hvidovre",6,7,2,3,7,3,1,0,2,3,5,3,3,4,1,2,2,2,6,7
" ","Høje-Taastrup",4,6,9,3,0,1,0,2,0,1,5,3,1,2,2,4,8,2,2,2
" ","Ishøj",3,0,3,1,0,2,2,0,0,0,0,4,0,0,0,0,0,3,0,3
" ","Lyngby-Taarbæk",0,0,2,1,0,0,1,2,1,0,4,1,1,0,0,3,0,1,1,5
" ","Rødovre",1,3,1,1,2,4,3,1,0,4,5,3,2,3,0,2,2,0,1,3
" ","Vallensbæk",1,0,0,2,0,0,0,1,0,0,1,0,0,2,0,0,2,1,1,0
" ","Allerød",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" ","Egedal",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2
" ","Fredensborg",1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
" ","Frederikssund",0,0,1,1,1,0,0,0,0,0,3,0,2,1,0,1,0,0,0,2
" ","Furesø",0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,1,1
" ","Gribskov",1,2,1,1,2,0,0,1,0,1,0,3,0,0,0,0,0,0,2,0
" ","Halsnæs",0,3,0,0,0,1,0,2,0,0,0,1,2,1,0,0,0,0,0,1
" ","Helsingør",2,0,0,1,0,0,0,1,0,1,2,3,2,1,0,0,0,0,2,3
" ","Hillerød",0,0,1,0,1,3,0,0,1,1,2,1,1,1,1,0,1,1,0,1
" ","Hørsholm",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
" ","Rudersdal",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,5
" ","Bornholm",0,0,1,1,4,1,1,4,6,2,0,5,0,1,2,5,1,0,2,4
" ","Christiansø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Greve",0,1,1,0,1,2,2,0,0,0,2,0,1,1,2,2,3,0,0,6
" ","Køge",2,0,0,1,1,1,0,0,1,1,1,2,3,0,3,0,2,7,1,1
" ","Lejre",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
" ","Roskilde",3,5,3,1,0,2,0,0,2,1,4,2,5,1,2,3,1,1,1,3
