Anmeldte forbrydelser efter overtrædelsens art, område og tid;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 ; ;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3;2020K4;2021K1;2021K2;2021K3;2021K4;2022K1;2022K2;2022K3;2022K4
Seksualforbrydelser i alt;;;;;;;;;;;;;;;;;;;;;
 ;København;468;166;181;126;121;120;112;163;186;134;201;136;133;244;174;327;158;230;180;158
 ;Frederiksberg;98;11;15;14;10;16;18;8;10;14;23;16;13;18;11;15;20;34;16;17
 ;Dragør;1;2;0;5;3;0;2;1;0;0;3;1;8;10;0;1;0;1;2;4
 ;Tårnby;7;26;10;7;4;9;45;12;6;12;14;13;6;1;7;6;13;2;10;4
 ;Albertslund;6;6;7;14;5;7;6;7;5;5;4;2;8;9;12;7;11;10;8;6
 ;Ballerup;11;9;6;9;10;11;11;8;10;9;7;7;15;6;8;5;10;12;17;7
 ;Brøndby;6;7;7;6;8;11;7;4;9;11;14;6;10;48;7;1;10;58;5;8
 ;Gentofte;81;23;19;26;7;11;10;7;7;20;11;11;17;13;17;13;11;14;19;11
 ;Gladsaxe;9;8;12;5;12;12;6;4;7;8;10;9;11;6;13;10;13;11;3;15
 ;Glostrup;4;3;6;8;7;0;10;5;5;11;3;4;2;3;5;4;8;8;5;11
 ;Herlev;1;3;3;7;5;9;8;8;6;1;3;3;6;14;5;2;6;11;7;4
 ;Hvidovre;7;7;9;6;8;8;4;8;14;13;8;4;5;12;10;6;10;12;19;9
 ;Høje-Taastrup;15;8;10;9;9;7;5;8;13;15;7;7;8;19;7;13;16;125;10;65
 ;Ishøj;3;5;53;3;1;6;9;9;5;2;13;8;8;4;7;8;7;3;6;5
 ;Lyngby-Taarbæk;32;14;13;5;13;10;14;9;5;28;7;16;3;19;10;7;7;5;14;7
 ;Rødovre;10;9;7;8;1;2;3;10;6;5;4;4;12;52;5;80;7;14;7;39
 ;Vallensbæk;0;1;2;2;1;1;1;5;3;2;0;0;2;2;2;4;3;2;2;0
 ;Allerød;11;4;9;2;1;2;4;17;2;1;3;2;3;1;1;3;4;1;5;4
 ;Egedal;17;11;3;6;9;15;5;9;6;2;6;5;6;6;1;6;4;5;5;7
