Anmeldte forbrydelser efter overtrædelsens art, område og tid;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 ; ;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3;2020K4;2021K1;2021K2;2021K3;2021K4;2022K1;2022K2;2022K3;2022K4
Skatte- og afgiftslove mv.;;;;;;;;;;;;;;;;;;;;;
 ;København;130;151;167;101;101;138;111;120;144;210;176;177;206;278;173;151;223;181;176;185
 ;Frederiksberg;11;15;10;6;7;5;7;2;23;11;9;10;10;17;15;17;15;18;10;21
 ;Dragør;0;0;0;0;0;2;0;0;0;2;4;5;3;0;2;0;4;0;1;1
 ;Tårnby;9;25;25;42;42;34;19;57;39;56;33;39;46;50;37;39;81;70;56;48
 ;Albertslund;2;2;6;1;6;3;3;7;11;10;8;7;17;6;6;25;24;17;11;10
 ;Ballerup;4;4;13;2;0;8;9;4;4;3;5;3;13;15;9;3;14;21;9;21
 ;Brøndby;3;3;9;9;8;10;8;10;15;12;7;19;17;16;9;20;23;26;4;15
 ;Gentofte;3;5;0;4;1;3;4;2;7;5;3;2;1;16;15;10;38;7;13;9
 ;Gladsaxe;0;12;5;10;2;5;6;2;15;10;11;11;14;7;3;21;17;12;24;20
 ;Glostrup;4;3;7;5;0;3;2;9;5;11;7;7;29;14;5;5;23;14;13;10
 ;Herlev;0;2;3;1;3;1;1;6;4;5;7;5;5;7;2;4;8;4;4;3
 ;Hvidovre;6;5;11;7;7;5;4;5;8;12;6;4;11;15;6;3;34;25;11;33
 ;Høje-Taastrup;3;11;10;9;11;9;7;11;14;6;4;14;27;9;8;9;44;37;35;12
 ;Ishøj;5;2;9;8;14;8;4;6;11;12;20;11;32;24;14;13;31;27;17;36
 ;Lyngby-Taarbæk;7;5;7;3;8;5;6;5;18;7;5;2;7;5;6;11;26;21;14;8
 ;Rødovre;5;2;7;9;11;10;1;2;4;5;4;8;16;12;3;6;15;7;32;19
 ;Vallensbæk;2;2;0;0;0;3;2;2;2;4;1;8;9;7;1;8;3;3;7;11
 ;Allerød;5;0;3;2;2;0;2;0;3;5;3;5;3;1;3;8;0;5;3;3
 ;Egedal;1;2;2;3;0;4;2;6;4;2;6;6;9;1;0;9;8;9;13;11
 ;Fredensborg;5;1;2;4;2;2;1;4;3;7;10;5;4;3;5;8;11;2;15;5
 ;Frederikssund;5;9;6;5;9;7;3;7;7;7;7;8;8;7;8;4;9;19;10;10
 ;Furesø;0;1;4;5;1;2;4;0;0;5;0;0;12;2;2;5;16;6;6;7
 ;Gribskov;4;5;4;0;3;5;7;3;2;4;3;6;0;5;7;12;12;12;5;11
 ;Halsnæs;9;5;2;10;1;6;2;3;6;6;6;1;4;9;2;5;12;10;22;4
 ;Helsingør;4;3;9;5;2;7;1;9;6;11;17;8;29;6;16;23;19;4;15;28
 ;Hillerød;2;7;5;10;5;11;6;3;10;10;15;11;23;10;6;14;10;21;28;13
 ;Hørsholm;1;2;0;2;2;3;0;2;0;4;2;0;0;3;2;10;1;1;2;9
