"Anmeldte forbrydelser efter overtrædelsens art, område og tid"

" "," ","2018K1","2018K2","2018K3","2018K4","2019K1","2019K2","2019K3","2019K4","2020K1","2020K2","2020K3","2020K4","2021K1","2021K2","2021K3","2021K4","2022K1","2022K2","2022K3","2022K4"
"Smugling mv. af narkotika"
" ","København",10,2,3,5,16,4,0,8,15,23,2,1,5,4,2,1,2,2,9,3
" ","Frederiksberg",0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,1,1,0,1,0
" ","Dragør",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Tårnby",3,3,3,9,6,7,2,7,3,0,1,1,1,1,1,3,4,1,0,4
" ","Albertslund",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
" ","Ballerup",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Brøndby",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
" ","Gentofte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
" ","Gladsaxe",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
" ","Glostrup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Herlev",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
" ","Hvidovre",1,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6
" ","Høje-Taastrup",1,2,1,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1
" ","Ishøj",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
" ","Lyngby-Taarbæk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Rødovre",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
" ","Vallensbæk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Allerød",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Egedal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Fredensborg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Frederikssund",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
" ","Furesø",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Gribskov",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
" ","Halsnæs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Helsingør",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Hillerød",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Hørsholm",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" ","Rudersdal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
" ","Bornholm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
" ","Christiansø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Greve",0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,1,0
" ","Køge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Lejre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Roskilde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Solrød",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Faxe",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Guldborgsund",1,1,1,2,2,4,1,0,2,0,1,0,0,0,0,0,1,0,0,1
" ","Holbæk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Kalundborg",0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
" ","Lolland",0,3,2,0,2,3,1,0,0,0,2,0,1,0,3,1,1,2,1,1
" ","Næstved",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Odsherred",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Ringsted",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Slagelse",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
" ","Sorø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Stevns",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Vordingborg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Assens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Faaborg-Midtfyn",0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0
" ","Kerteminde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Langeland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Middelfart",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
" ","Nordfyns",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
" ","Nyborg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
" ","Odense",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
" ","Svendborg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Ærø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Billund",0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0
