Anmeldte forbrydelser efter overtrædelsens art, område og tid;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 ; ;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3;2020K4;2021K1;2021K2;2021K3;2021K4;2022K1;2022K2;2022K3;2022K4
Straffelov i alt;;;;;;;;;;;;;;;;;;;;;
 ;København;16774;18231;17409;17731;17180;17470;16923;19666;17401;11116;15262;12567;9537;11536;14199;13601;11889;14768;15495;16450
 ;Frederiksberg;1686;1651;1549;1586;1388;1433;1458;1839;1588;1241;1760;1648;1321;1351;1454;1482;1439;1544;1718;1968
 ;Dragør;103;107;106;128;133;107;134;161;104;121;117;138;98;88;93;108;83;92;107;96
 ;Tårnby;884;977;954;951;899;888;890;935;844;522;655;561;411;491;591;631;639;843;842;720
 ;Albertslund;360;554;422;445;430;456;459;467;514;1174;515;463;438;355;317;293;379;574;396;396
 ;Ballerup;758;668;703;764;700;715;751;739;758;556;811;614;583;664;658;599;674;792;759;654
 ;Brøndby;781;650;677;682;595;500;473;530;476;452;476;478;520;496;441;520;518;683;516;540
 ;Gentofte;1245;1317;1333;1245;1072;1266;1136;1247;945;860;969;981;714;916;966;940;866;1012;989;874
 ;Gladsaxe;775;929;955;1000;857;892;836;920;720;733;834;729;611;666;570;706;755;1236;791;824
 ;Glostrup;577;593;564;533;512;435;394;519;416;458;405;471;360;345;408;377;397;460;477;433
 ;Herlev;548;593;541;573;512;527;466;787;1071;426;558;447;380;332;484;383;354;414;585;428
 ;Hvidovre;825;898;909;925;781;803;817;774;759;748;867;1264;638;551;717;720;634;740;797;813
 ;Høje-Taastrup;799;792;740;741;814;894;643;1001;753;586;777;1110;580;704;663;634;668;754;690;871
 ;Ishøj;338;369;398;373;396;354;292;425;366;296;316;349;272;265;296;266;279;298;296;306
 ;Lyngby-Taarbæk;1173;1073;1057;1229;1004;871;890;950;749;584;820;744;510;656;684;840;743;833;875;797
 ;Rødovre;631;674;662;660;597;729;599;700;603;503;659;723;515;553;505;565;546;615;745;786
 ;Vallensbæk;157;160;193;200;156;175;186;189;149;124;145;142;120;94;110;138;132;169;139;132
 ;Allerød;291;246;278;306;226;255;227;276;225;147;229;181;138;164;228;229;222;221;261;253
 ;Egedal;374;311;349;450;298;299;279;339;279;272;300;341;260;267;300;276;343;325;330;361
 ;Fredensborg;395;385;331;399;309;327;308;341;333;230;341;330;226;305;332;313;312;302;404;382
 ;Frederikssund;420;493;519;584;406;598;509;534;452;425;558;512;428;543;428;441;434;443;426;467
 ;Furesø;496;529;352;460;405;422;417;395;383;320;364;355;295;317;350;356;310;372;461;452
 ;Gribskov;435;424;488;509;434;450;488;509;341;380;418;393;404;344;384;329;417;380;530;435
 ;Halsnæs;289;368;308;432;351;380;367;384;304;309;323;324;293;318;295;306;257;315;322;275
 ;Helsingør;821;819;866;919;765;863;791;962;792;643;873;724;660;623;726;687;802;901;985;998
 ;Hillerød;654;643;682;770;752;570;632;745;667;480;547;646;533;622;640;674;646;626;720;741
 ;Hørsholm;282;428;633;309;315;276;379;314;210;240;270;251;306;301;310;297;265;349;768;269
 ;Rudersdal;829;771;779;750;685;697;707;810;598;528;622;611;452;523;545;586;564;602;631;626
 ;Bornholm;196;250;254;220;215;232;259;220;221;173;256;216;213;181;205;224;191;245;342;266
 ;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
 ;Greve;601;630;618;638;534;523;585;612;513;510;615;447;388;453;449;520;527;734;492;567
 ;Køge;742;779;638;698;670;631;624;754;699;597;649;697;495;536;527;601;544;595;623;660
 ;Lejre;228;246;442;353;158;171;171;173;170;150;169;152;175;307;151;123;176;201;166;189
 ;Roskilde;1049;1374;1744;1445;962;918;1705;1146;861;853;950;909;727;860;866;971;927;1156;1343;982
 ;Solrød;200;189;220;309;195;210;221;257;198;173;202;203;141;166;182;193;181;219;223;241
 ;Faxe;305;300;354;391;260;231;349;314;296;299;333;298;201;259;264;215;214;289;340;498
 ;Guldborgsund;773;808;750;793;927;772;833;927;759;656;667;591;539;545;575;558;531;652;640;624
 ;Holbæk;670;731;773;811;792;600;658;762;823;1205;936;751;612;613;504;492;555;627;593;607
 ;Kalundborg;432;575;479;580;409;417;389;673;407;381;402;376;371;721;356;338;446;652;492;453
 ;Lolland;528;716;754;706;1051;614;605;668;500;483;621;429;389;466;460;398;390;626;505;528
 ;Næstved;828;1008;1018;877;1001;762;852;900;850;726;823;676;587;769;651;591;821;858;945;916
 ;Odsherred;462;446;436;514;386;414;412;470;543;382;384;312;303;242;290;318;388;414;444;462
 ;Ringsted;411;418;416;406;358;356;324;396;399;344;348;367;235;342;486;328;272;409;340;329
 ;Slagelse;1052;1112;1102;1226;1108;1104;1110;1081;1217;1624;863;940;818;782;778;766;777;949;896;1013
 ;Sorø;336;358;291;311;279;273;263;340;308;238;268;222;192;234;231;280;205;260;201;242
 ;Stevns;130;183;167;175;90;116;172;129;141;189;125;95;112;137;149;155;134;174;191;194
 ;Vordingborg;512;463;521;475;442;414;547;405;413;378;437;350;334;372;387;465;382;363;403;421
 ;Assens;370;283;294;382;392;317;353;410;463;452;417;468;339;301;384;274;251;276;298;304
 ;Faaborg-Midtfyn;420;420;403;480;399;359;377;346;384;413;409;465;385;336;383;374;342;362;344;348
 ;Kerteminde;144;169;289;223;202;194;236;141;174;190;195;169;139;157;190;149;120;152;194;138
 ;Langeland;75;108;138;131;121;104;126;70;93;121;100;85;69;91;117;83;94;97;123;171
 ;Middelfart;357;455;416;425;368;401;464;449;346;371;513;399;281;313;407;445;346;444;422;363
 ;Nordfyns;224;246;246;352;236;242;230;241;288;251;235;258;239;165;221;199;191;175;275;195
 ;Nyborg;338;398;369;404;402;392;402;323;374;272;308;381;315;313;306;360;298;239;298;300
 ;Odense;2775;3152;3215;3175;3126;3110;2867;3376;3472;2619;2947;3123;2291;2399;2816;2539;2394;2679;3351;2879
 ;Svendborg;603;546;551;655;486;506;521;667;540;499;578;475;464;501;689;582;506;591;585;570
 ;Ærø;15;33;40;34;34;28;27;22;22;12;36;31;10;15;25;17;17;20;28;24
 ;Billund;286;330;382;330;236;247;392;325;269;186;283;189;178;154;199;249;195;245;212;218
 ;Esbjerg;1339;1532;1656;1722;1469;1481;1542;1600;1416;1265;1478;1492;1279;1359;1438;1317;1321;1384;1426;1547
 ;Fanø;40;45;48;41;45;29;38;11;18;23;31;31;19;28;29;20;36;36;36;20
 ;Fredericia;829;778;753;791;747;674;722;712;672;583;546;615;507;647;673;718;610;690;746;829
 ;Haderslev;629;583;581;595;565;572;457;557;511;493;445;481;472;549;492;527;587;584;575;532
 ;Kolding;1525;1374;1230;1424;1214;1250;1155;1047;981;897;950;935;889;993;1022;1038;909;1227;1049;1047
 ;Sønderborg;765;905;852;859;709;738;726;610;561;606;613;614;459;582;617;612;564;713;703;776
 ;Tønder;369;403;412;518;362;880;420;409;345;292;345;299;328;320;298;294;461;362;324;348
 ;Varde;560;463;543;482;404;398;427;526;409;378;344;370;295;369;399;356;365;426;428;387
 ;Vejen;346;355;351;386;344;282;325;350;306;232;268;311;249;280;261;290;291;318;341;341
 ;Vejle;1437;1530;1338;1504;1288;1413;1324;1210;1049;955;1099;968;892;975;1092;1092;988;1141;1147;1186
 ;Aabenraa;740;679;706;710;657;606;621;673;588;539;632;724;477;548;502;547;440;533;550;506
 ;Favrskov;437;379;337;350;319;377;337;385;386;317;423;299;306;279;279;266;311;249;286;355
 ;Hedensted;351;386;361;396;285;304;447;303;324;313;284;288;215;267;266;301;300;299;315;356
 ;Horsens;1085;1134;1074;1018;972;958;992;868;874;778;876;804;743;768;909;1050;786;941;1005;1009
 ;Norddjurs;343;355;337;445;460;373;305;300;367;314;371;398;330;248;305;284;246;314;408;316
 ;Odder;207;174;167;157;162;151;140;154;149;130;124;143;120;132;153;120;112;135;221;173
 ;Randers;1013;994;1170;1151;1094;1542;1168;1086;1167;1072;1437;1095;865;1345;1156;974;968;1135;1129;1303
 ;Samsø;17;20;45;19;9;20;40;15;13;28;30;14;18;8;22;16;11;21;39;18
 ;Silkeborg;931;892;914;1098;811;833;722;797;923;664;793;698;721;611;734;652;729;713;801;684
 ;Skanderborg;529;558;651;482;472;447;577;395;400;281;406;406;501;334;424;448;393;385;471;441
 ;Syddjurs;415;414;373;350;309;363;401;292;332;316;293;501;290;321;290;275;254;299;339;327
 ;Aarhus;6122;6249;5791;6230;5510;5065;5298;5374;5034;4667;5674;5125;3589;4606;5066;6595;5232;5728;5542;6049
 ;Herning;1112;1029;963;1110;1010;825;810;1042;821;666;869;736;680;843;777;842;654;1167;938;810
 ;Holstebro;594;710;879;684;925;529;599;593;542;561;559;515;378;506;760;499;445;549;450;476
 ;Ikast-Brande;410;408;352;404;408;398;372;368;398;329;364;374;343;348;301;358;259;355;334;389
 ;Lemvig;94;109;143;121;88;93;114;110;131;138;98;88;110;101;143;54;94;114;108;73
 ;Ringkøbing-Skjern;429;471;466;387;358;341;292;360;342;397;333;365;304;337;296;326;345;347;458;351
 ;Skive;388;414;413;427;341;433;420;455;359;324;332;349;295;314;319;297;282;428;471;318
 ;Struer;170;153;175;132;244;128;140;210;191;156;191;150;118;152;144;155;125;177;162;184
 ;Viborg;988;1040;2109;972;705;829;849;901;839;710;898;751;659;648;730;1422;816;1057;918;802
 ;Brønderslev;328;316;326;300;235;274;313;247;212;212;221;273;182;368;200;181;192;295;258;266
 ;Frederikshavn;752;946;591;1263;628;590;654;539;521;566;483;408;330;433;490;399;383;434;557;411
 ;Hjørring;764;566;562;662;644;479;494;591;452;376;403;404;278;430;448;426;507;473;518;462
 ;Jammerbugt;370;331;313;368;348;263;250;311;239;251;295;328;232;223;317;239;253;222;265;208
 ;Læsø;7;7;14;14;7;5;15;4;10;4;11;5;4;3;7;1;2;5;9;2
 ;Mariagerfjord;378;338;439;454;316;303;378;487;436;336;359;370;319;316;300;379;341;262;314;291
 ;Morsø;126;111;139;205;178;146;168;147;168;194;158;131;154;105;96;123;123;168;181;170
 ;Rebild;199;153;180;173;156;191;144;175;141;160;170;164;133;119;114;134;149;183;125;148
 ;Thisted;400;424;413;414;333;293;314;330;246;240;246;262;205;265;274;255;394;284;317;219
 ;Vesthimmerlands;320;350;337;293;314;261;350;322;321;298;309;355;720;284;313;312;260;320;293;241
 ;Aalborg;2336;2683;2559;2547;2451;2599;2154;2448;2273;1671;2060;1812;1548;1633;1824;1799;1992;2739;2185;2252
 ;Uoplyst kommune;3940;5186;4867;5278;6815;6642;8343;7904;8832;10615;8165;8360;10166;7502;6624;7103;7038;6917;10340;9322
;;;;;;;;;;;;;;;;;;;;;
Straffelovens bestemmelser vedr. seksualforbrydelser gennemgik ;;;;;;;;;;;;;;;;;;;;;
væsentlige ændringer med virkning fra 1. juli 2013. Ændringerne betød;;;;;;;;;;;;;;;;;;;;;
bl.a., at der nu er flere kategorier af seksualforbrydelser end ;;;;;;;;;;;;;;;;;;;;;
tidligere, der henføres under bestemmelserne om voldtægt (§216). Se;;;;;;;;;;;;;;;;;;;;;
mere herom i statistikdokumentationen, i afsnittet Sammenlignelighed: ;;;;;;;;;;;;;;;;;;;;;
http://www.dst.dk/statistikdokumentation/c1ac7749-1e15-4d3a-8ed0-fb2d-;;;;;;;;;;;;;;;;;;;;;
26a9fe93;;;;;;;;;;;;;;;;;;;;;
