Anmeldte forbrydelser efter overtrædelsens art, område og tid;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 ; ;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3;2020K4;2021K1;2021K2;2021K3;2021K4;2022K1;2022K2;2022K3;2022K4
Våbenloven;;;;;;;;;;;;;;;;;;;;;
 ;København;406;434;414;446;590;603;465;460;401;422;457;411;446;383;371;347;287;337;354;325
 ;Frederiksberg;31;28;26;35;27;75;52;16;38;24;38;37;38;32;22;16;23;39;32;24
 ;Dragør;2;2;4;4;9;11;5;7;5;3;5;6;5;7;6;3;1;1;9;2
 ;Tårnby;41;35;41;50;58;45;55;41;38;28;45;24;32;29;26;28;19;34;26;37
 ;Albertslund;24;30;25;22;55;23;23;19;21;27;27;20;21;11;17;18;16;13;14;7
 ;Ballerup;25;32;22;46;77;58;40;31;23;58;38;38;32;24;26;25;22;21;11;18
 ;Brøndby;33;28;30;26;44;45;26;29;22;38;34;32;31;39;26;20;21;23;14;24
 ;Gentofte;24;18;17;19;20;30;26;14;11;17;27;12;17;15;20;15;9;11;9;9
 ;Gladsaxe;24;42;39;55;38;57;47;36;23;26;28;20;29;27;23;23;15;25;16;23
 ;Glostrup;27;19;16;39;41;40;15;37;35;34;23;19;26;29;21;27;14;23;15;6
 ;Herlev;15;21;23;28;39;29;26;15;16;11;18;14;320;14;18;15;14;14;3;7
 ;Hvidovre;40;36;39;38;51;61;45;39;38;44;30;33;47;50;26;23;30;19;21;19
 ;Høje-Taastrup;37;42;34;31;48;63;39;30;29;38;25;28;34;34;29;41;24;24;25;21
 ;Ishøj;13;26;26;33;22;36;30;29;16;21;20;14;19;10;18;16;19;9;9;13
 ;Lyngby-Taarbæk;20;19;26;19;28;25;25;9;15;17;20;13;9;12;18;8;9;5;11;9
 ;Rødovre;23;39;26;35;36;27;28;39;38;43;31;41;21;18;20;20;16;7;22;13
 ;Vallensbæk;2;12;6;6;22;14;8;3;3;5;4;5;5;3;5;4;7;3;2;3
 ;Allerød;8;7;9;13;8;10;5;6;6;4;4;5;7;4;2;4;0;6;1;3
 ;Egedal;21;17;16;15;16;30;18;14;5;13;15;13;11;6;13;11;12;8;6;9
 ;Fredensborg;24;16;11;16;42;45;31;21;11;16;22;12;16;10;12;19;10;6;9;8
 ;Frederikssund;25;32;44;44;57;48;30;23;43;18;15;29;22;16;30;14;21;9;14;17
 ;Furesø;16;12;18;14;22;25;7;11;18;8;7;6;15;10;12;8;2;9;8;6
 ;Gribskov;10;19;16;28;40;37;22;20;31;21;24;21;19;18;23;17;16;11;9;18
 ;Halsnæs;15;20;18;39;35;46;25;13;23;28;41;22;24;13;12;13;12;7;9;18
 ;Helsingør;31;36;36;43;49;48;48;36;38;22;42;21;38;19;35;22;16;25;21;15
 ;Hillerød;27;19;30;23;37;43;22;21;26;28;41;15;30;23;20;24;24;25;16;19
 ;Hørsholm;4;6;3;11;14;7;10;6;7;8;4;10;4;4;4;6;2;3;1;4
 ;Rudersdal;10;12;17;14;19;23;21;15;13;14;20;18;16;11;11;9;4;7;10;11
 ;Bornholm;16;17;17;27;58;37;34;19;25;21;27;25;16;21;25;11;18;19;19;18
 ;Christiansø;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
 ;Greve;10;26;24;24;51;49;28;31;34;21;16;28;27;21;16;17;12;9;15;15
 ;Køge;48;31;29;42;52;68;37;40;52;27;27;34;35;28;33;33;9;22;19;14
 ;Lejre;11;14;9;14;31;19;18;32;16;11;7;10;15;16;14;15;0;4;3;6
 ;Roskilde;44;49;38;55;67;56;59;63;41;41;45;32;34;29;27;39;39;28;21;34
 ;Solrød;7;4;5;13;18;22;11;11;17;11;14;10;8;6;6;8;4;2;5;2
 ;Faxe;25;18;15;31;20;43;20;19;17;8;24;23;14;17;8;20;5;13;7;9
 ;Guldborgsund;64;70;86;83;88;110;55;65;54;35;67;46;60;39;43;33;26;28;36;22
 ;Holbæk;48;53;63;85;83;83;76;81;56;40;53;53;38;34;40;52;19;37;21;27
 ;Kalundborg;34;28;34;43;75;58;51;77;34;12;37;25;32;29;29;12;11;8;17;12
 ;Lolland;49;56;52;76;65;106;53;47;36;32;51;34;30;19;36;36;22;21;26;29
 ;Næstved;44;51;70;69;96;83;62;37;66;39;75;44;52;30;38;31;24;21;28;34
 ;Odsherred;32;26;24;27;41;52;23;34;26;24;18;25;26;13;20;18;13;20;7;10
 ;Ringsted;22;23;36;51;36;38;24;25;14;32;25;20;9;7;21;15;10;15;26;13
 ;Slagelse;48;65;77;68;87;107;65;62;34;33;52;53;35;39;36;43;21;31;28;20
 ;Sorø;14;25;22;15;39;37;25;8;17;18;21;14;18;15;11;11;16;7;3;7
 ;Stevns;12;14;10;19;24;15;11;9;13;13;13;4;14;7;14;3;3;3;4;3
 ;Vordingborg;17;37;29;43;56;62;41;41;35;23;31;22;36;18;29;19;15;15;11;16
 ;Assens;29;25;19;31;37;39;20;22;20;18;30;20;19;12;22;15;4;6;5;11
 ;Faaborg-Midtfyn;31;28;31;39;41;45;21;25;27;20;27;13;21;14;26;11;8;12;9;11
 ;Kerteminde;8;21;15;21;28;17;9;7;8;8;7;6;13;7;11;6;2;1;8;6
 ;Langeland;11;9;7;14;18;15;10;3;8;2;4;8;0;4;4;4;2;1;2;3
 ;Middelfart;22;24;22;28;41;49;21;12;23;12;9;20;16;10;16;5;9;3;10;9
 ;Nordfyns;14;17;19;37;33;37;16;9;19;12;19;12;15;11;11;7;9;8;7;5
 ;Nyborg;20;18;25;23;40;40;23;18;20;21;7;13;15;16;11;16;5;13;9;9
 ;Odense;92;114;120;145;166;170;109;90;89;101;86;117;89;82;110;110;112;89;100;86
 ;Svendborg;22;25;26;47;53;57;43;37;45;26;30;26;30;39;29;25;23;19;24;23
 ;Ærø;2;2;4;4;3;0;2;0;2;2;3;2;0;0;2;0;2;0;0;0
 ;Billund;15;24;36;31;22;31;41;26;33;9;29;17;18;14;28;33;31;46;50;33
 ;Esbjerg;113;114;128;126;122;165;102;76;70;77;98;93;75;59;72;63;73;71;56;52
 ;Fanø;5;0;2;2;1;1;0;1;3;2;2;3;0;4;2;0;0;1;3;0
 ;Fredericia;37;46;32;47;66;114;77;40;48;53;40;29;16;15;23;19;27;27;24;26
 ;Haderslev;28;44;43;46;53;54;36;31;28;20;30;38;22;22;28;21;12;14;19;19
 ;Kolding;55;53;62;103;84;97;58;60;59;50;61;32;44;36;64;45;34;34;47;31
